program_id,institution_id,program_name,field_tags,degree_level,mode,intakes,is_migration_aligned
79,3,Information Technology,Artificial Intelligence;Engineering,Bachelor,oncampus,2,FALSE
80,3,Business,Law;Business;Artificial Intelligence,Diploma,online,3,FALSE
81,3,Renewable Energy,Law;Sustainable Design,Bachelor,oncampus,2,TRUE
82,3,Film,Cybersecurity;Design,PhD,online,3,TRUE
83,3,Accounting,Computer Science;Artificial Intelligence;Marketing,Bachelor,oncampus,3,FALSE
84,3,Nursing,Environmental Science;Artificial Intelligence;Nursing,Master,oncampus,3,TRUE
85,3,Design,Design;Artificial Intelligence;Banking,Diploma,oncampus,7,FALSE
86,3,Sustainable Design,Nursing;Psychology,Diploma,oncampus,2;10,FALSE
87,3,Film,Ecology;Film,Diploma,oncampus,2,TRUE
88,3,Data Science,Marketing;Information Technology;Law,Master,hybrid,3,TRUE
89,3,Law,Education;Engineering;Artificial Intelligence,Bachelor,online,3,FALSE
90,3,Public Health,Data Science;Nursing,Bachelor,oncampus,2;3,FALSE
91,3,Banking,Computer Science;Psychology,Bachelor,oncampus,7,FALSE
92,3,Film,Design;Information Technology,Master,oncampus,7,FALSE
93,3,Sustainable Design,Engineering;Cybersecurity,Master,oncampus,2,FALSE
94,3,International Law,International Law;Cybersecurity;Sustainable Design,Bachelor,oncampus,7;10,FALSE
95,3,Environmental Science,Engineering;Sustainable Design,Bachelor,oncampus,3,FALSE
96,4,Artificial Intelligence,Public Health;Artificial Intelligence,Bachelor,oncampus,7;10,FALSE
97,4,Law,Sustainable Design;Engineering;Business,PhD,oncampus,10,FALSE
98,4,Sustainable Design,Accounting;Sustainable Design;Finance,PhD,oncampus,10,FALSE
99,4,Environmental Science,Psychology;Design,PhD,hybrid,3;7,FALSE
100,4,Law,Renewable Energy;Law;Sustainable Design,Bachelor,oncampus,2;3,TRUE
101,4,Engineering,Film;Public Health,Master,oncampus,7;10,TRUE
102,4,International Law,Environmental Science;Design;International Law,Bachelor,online,3;7,TRUE
103,4,Data Science,Artificial Intelligence;Data Science,PhD,online,2;3,TRUE
104,4,Marketing,Marketing;Computer Science,Master,oncampus,2;10,TRUE
105,4,Accounting,Law;Accounting;Data Science,Bachelor,online,10,FALSE
106,4,Film,Engineering;Business;Law,Master,oncampus,2;3,FALSE
107,4,Nursing,Artificial Intelligence;Sustainable Design;Marketing,Master,online,10,TRUE
108,4,Environmental Science,Psychology;Environmental Science,Bachelor,oncampus,7,FALSE
109,4,Law,Computer Science;Environmental Science,Bachelor,oncampus,2,TRUE
110,4,Film,Accounting;Film,Master,online,7,FALSE
111,4,Data Science,Data Science;Business,Master,online,7,FALSE
112,4,Sustainable Design,Sustainable Design;Education,Diploma,oncampus,2;10,TRUE
113,4,Finance,Education;Finance,Diploma,oncampus,3;10,TRUE
114,4,Ecology,Cybersecurity;Ecology,Master,hybrid,7;10,FALSE
115,4,Education,Education;Psychology,Diploma,oncampus,7,FALSE
116,4,Law,Design;Cybersecurity,Bachelor,oncampus,7,FALSE
117,4,Film,Design;Sustainable Design;Artificial Intelligence,Bachelor,oncampus,2;10,FALSE
118,4,Nursing,Cybersecurity;International Law;Accounting,PhD,oncampus,10,FALSE
119,4,Law,Law;Business;Architecture,Master,hybrid,7,FALSE
120,4,Information Technology,Sustainable Design;Information Technology,Master,hybrid,7;10,FALSE
121,4,Design,Design;Psychology,Bachelor,oncampus,3;7,FALSE
122,4,Design,Computer Science;Design,Bachelor,online,3,TRUE
123,4,Artificial Intelligence,International Law;Artificial Intelligence;Law,Master,online,2;3,FALSE
124,4,Business,Business;Banking,PhD,hybrid,3,FALSE
125,4,Computer Science,Computer Science;Public Health,Bachelor,oncampus,3;7,TRUE
126,4,Architecture,Engineering;Ecology,Bachelor,oncampus,2,FALSE
127,4,Sustainable Design,Information Technology;Film;Sustainable Design,Bachelor,oncampus,3;10,FALSE
128,4,Architecture,Architecture;Sustainable Design,Master,oncampus,2;3,TRUE
129,4,Business,Law;Design,Bachelor,hybrid,7,TRUE
130,4,Sustainable Design,Sustainable Design;Cybersecurity;Environmental Science,Bachelor,oncampus,3;10,TRUE
131,4,Public Health,Public Health;Psychology,Master,oncampus,3;7,TRUE
132,5,Business,Business;Artificial Intelligence;Engineering,Master,hybrid,2,FALSE
133,5,Law,Law;International Law,PhD,oncampus,10,TRUE
134,5,Ecology,Ecology;Film;Education,Diploma,oncampus,10,FALSE
135,5,Accounting,International Law;Cybersecurity,Master,oncampus,10,FALSE
136,5,International Law,International Law;Data Science,PhD,hybrid,7,FALSE
137,5,Computer Science,Nursing;Computer Science;Public Health,Bachelor,hybrid,2;10,FALSE
138,5,Business,Computer Science;Ecology;Artificial Intelligence,Master,oncampus,3;10,FALSE
139,5,Nursing,Nursing;Artificial Intelligence;Film,Master,online,2,TRUE
140,5,Data Science,Architecture;Data Science;Sustainable Design,Diploma,oncampus,3;7,FALSE
141,5,Cybersecurity,Data Science;Nursing,Bachelor,online,2;10,FALSE
142,5,Psychology,Computer Science;Psychology;Finance,PhD,online,3;7,FALSE
143,5,Cybersecurity,Ecology;Marketing;Cybersecurity,Diploma,oncampus,2;7,FALSE
144,5,Psychology,Computer Science;Psychology;Information Technology,Master,oncampus,7;10,TRUE
145,5,Design,Psychology;Design;Cybersecurity,Bachelor,hybrid,7,FALSE
146,5,Artificial Intelligence,Architecture;Accounting;Artificial Intelligence,Bachelor,oncampus,7,FALSE
147,5,Ecology,Ecology;Marketing;Artificial Intelligence,Bachelor,hybrid,3;7,FALSE
148,5,Ecology,Ecology;Accounting;Design,PhD,oncampus,3,FALSE
149,5,Design,Sustainable Design;Engineering,Diploma,hybrid,7,FALSE
150,5,Design,Engineering;Artificial Intelligence,Bachelor,oncampus,7;10,FALSE
151,5,Information Technology,Sustainable Design;Information Technology;Nursing,Bachelor,oncampus,2;7,FALSE
152,5,Design,Renewable Energy;Artificial Intelligence;Design,Master,oncampus,3;10,FALSE
153,5,Film,Film;Business,Bachelor,hybrid,2,TRUE
154,5,Renewable Energy,Environmental Science;Information Technology;Renewable Energy,Master,oncampus,3;7,FALSE
155,5,Architecture,Film;Architecture;Data Science,Master,oncampus,3;10,FALSE
156,5,Banking,Film;Banking,Master,oncampus,3,FALSE
157,5,Education,Data Science;Education;Environmental Science,Bachelor,oncampus,7;10,TRUE
158,5,Public Health,Public Health;Environmental Science;Data Science,Master,oncampus,2,FALSE
159,5,Education,Finance;Education,Bachelor,hybrid,3,FALSE
160,5,Artificial Intelligence,Artificial Intelligence;Renewable Energy,Bachelor,oncampus,3;7,FALSE
161,5,Psychology,Marketing;Environmental Science;Film,Bachelor,oncampus,7;10,FALSE
162,5,Ecology,Nursing;Ecology,Bachelor,oncampus,7,FALSE
163,5,Engineering,Data Science;Finance;Education,PhD,online,10,FALSE
164,5,Marketing,Marketing;Business,Master,oncampus,7,FALSE
165,5,International Law,Renewable Energy;International Law,PhD,online,3;7,FALSE
166,5,Renewable Energy,Accounting;Architecture,Diploma,hybrid,2;10,FALSE
167,5,Psychology,Psychology;Psychology,Bachelor,oncampus,2,FALSE
168,5,Environmental Science,Nursing;Information Technology;Environmental Science,Master,online,10,FALSE
169,5,Sustainable Design,Artificial Intelligence;Sustainable Design,Master,oncampus,2;10,TRUE
170,6,Nursing,Accounting;Information Technology;Cybersecurity,Bachelor,oncampus,10,FALSE
171,6,Film,Design;Renewable Energy;Film,Bachelor,oncampus,2;7,FALSE
172,6,Education,Education;Marketing,Bachelor,hybrid,2;7,FALSE
173,6,International Law,Computer Science;Renewable Energy,Bachelor,oncampus,3;10,FALSE
174,6,Banking,Banking;Artificial Intelligence,Master,online,2;7,FALSE
175,6,Information Technology,Marketing;Design;Public Health,Bachelor,online,3,TRUE
176,6,Artificial Intelligence,Sustainable Design;Artificial Intelligence;Information Technology,Master,hybrid,3;7,TRUE
177,6,Renewable Energy,Renewable Energy;Engineering;Banking,Bachelor,oncampus,2;7,FALSE
178,6,Public Health,Psychology;Education,Bachelor,oncampus,3;10,FALSE
179,6,Environmental Science,Artificial Intelligence;Environmental Science,Bachelor,oncampus,3;7,TRUE
180,6,Nursing,Public Health;Artificial Intelligence;Data Science,Bachelor,online,10,FALSE
181,6,Marketing,Sustainable Design;Information Technology;Education,Master,oncampus,2,FALSE
182,6,Artificial Intelligence,Psychology;Artificial Intelligence;Education,Master,hybrid,10,TRUE
183,6,Information Technology,Design;Accounting,Diploma,hybrid,2;7,TRUE
184,6,Business,Education;Sustainable Design;Artificial Intelligence,Master,oncampus,2;7,FALSE
185,6,Cybersecurity,Renewable Energy;Engineering;Cybersecurity,Diploma,oncampus,7,FALSE
186,6,Environmental Science,Environmental Science;Environmental Science,Bachelor,oncampus,2,FALSE
187,6,Sustainable Design,Sustainable Design;Artificial Intelligence;Environmental Science,Bachelor,online,3;7,FALSE
188,6,Marketing,Design;Marketing,Master,oncampus,2;3,TRUE
189,6,Accounting,Education;Computer Science;Accounting,Master,online,2,FALSE
190,6,Artificial Intelligence,Engineering;Environmental Science;Artificial Intelligence,Bachelor,oncampus,7,FALSE
191,6,Design,Data Science;Design,Diploma,hybrid,2;3,FALSE
192,6,Architecture,Information Technology;Renewable Energy,Bachelor,oncampus,7,FALSE
193,6,Environmental Science,Nursing;Environmental Science;Renewable Energy,Bachelor,oncampus,7;10,TRUE
194,6,International Law,Design;International Law;Law,Diploma,hybrid,2,FALSE
195,6,Computer Science,Design;Law,Diploma,oncampus,2,TRUE
196,6,Engineering,Nursing;International Law;Engineering,Master,hybrid,3;10,FALSE
197,6,Sustainable Design,Sustainable Design;Information Technology,Diploma,oncampus,7;10,TRUE
198,6,Business,Public Health;Environmental Science,Bachelor,oncampus,7,TRUE
199,6,Renewable Energy,Renewable Energy;Public Health,Bachelor,oncampus,2;3,TRUE
200,6,Information Technology,Psychology;Information Technology;Architecture,Bachelor,hybrid,7,FALSE
201,6,Finance,Sustainable Design;Engineering;Renewable Energy,Master,oncampus,10,TRUE
202,6,Renewable Energy,Finance;Renewable Energy,Bachelor,oncampus,10,FALSE
203,6,Film,Data Science;Engineering;Film,Master,hybrid,10,FALSE
204,6,Business,Education;Business,Master,oncampus,3;10,TRUE
205,6,International Law,Renewable Energy;Sustainable Design;International Law,Bachelor,oncampus,2,FALSE
206,6,Psychology,Public Health;Psychology,Bachelor,online,10,TRUE
207,6,Renewable Energy,Business;Information Technology,Diploma,oncampus,3;7,FALSE
208,7,Renewable Energy,Marketing;Public Health;Film,Diploma,oncampus,10,TRUE
209,7,Environmental Science,Computer Science;Education,Bachelor,oncampus,10,TRUE
210,7,Law,Law;Environmental Science;Ecology,Bachelor,oncampus,3;7,FALSE
211,7,Information Technology,Design;Information Technology;Renewable Energy,Bachelor,oncampus,2;10,FALSE
212,7,Computer Science,Architecture;Environmental Science,Bachelor,oncampus,7;10,TRUE
213,7,Ecology,Renewable Energy;Finance,Diploma,oncampus,10,FALSE
214,7,Public Health,International Law;Public Health,PhD,online,7,FALSE
215,7,Film,Banking;Film;Accounting,Bachelor,online,3,FALSE
216,7,Environmental Science,Engineering;Public Health;Environmental Science,Master,oncampus,10,TRUE
217,7,Psychology,Nursing;Information Technology;Psychology,Master,oncampus,10,TRUE
218,7,Design,Finance;International Law;Engineering,Bachelor,oncampus,3,FALSE
219,7,Accounting,Renewable Energy;Accounting,Diploma,oncampus,7,FALSE
220,7,Environmental Science,Data Science;Computer Science;Business,Bachelor,oncampus,3,FALSE
221,7,Nursing,Design;Information Technology,Bachelor,online,2;10,FALSE
222,7,Architecture,Psychology;Architecture;Marketing,Master,hybrid,2,FALSE
223,7,Nursing,Nursing;Public Health;Cybersecurity,Bachelor,hybrid,3;7,FALSE
224,7,Sustainable Design,Marketing;Public Health,Bachelor,oncampus,2;3,FALSE
225,7,Ecology,Nursing;Ecology;Data Science,Bachelor,hybrid,2;7,FALSE
226,7,Psychology,Business;Psychology;Engineering,Master,oncampus,3,FALSE
227,7,Sustainable Design,Sustainable Design;Public Health;Nursing,Master,online,2;7,TRUE
228,7,Cybersecurity,Psychology;Data Science;Cybersecurity,Bachelor,online,3;7,FALSE
229,7,Film,Engineering;Business;Sustainable Design,Bachelor,online,3,FALSE
230,7,Accounting,Renewable Energy;Artificial Intelligence;Film,Master,oncampus,2,FALSE
231,7,Information Technology,Renewable Energy;Information Technology;Law,Master,hybrid,10,TRUE
232,7,Cybersecurity,Cybersecurity;Law,Master,oncampus,2;3,FALSE
233,7,Business,Information Technology;Law,Bachelor,hybrid,2,TRUE
234,8,Psychology,Psychology;Finance,Bachelor,oncampus,2;7,FALSE
235,8,Information Technology,Engineering;Artificial Intelligence,PhD,oncampus,3,FALSE
236,8,Design,Education;Design;Architecture,PhD,oncampus,3,TRUE
237,8,Design,International Law;Marketing;Design,Master,online,3,FALSE
238,8,Computer Science,Data Science;Sustainable Design;Nursing,Master,hybrid,3;10,FALSE
239,8,Education,Education;Ecology;Finance,Bachelor,online,2;10,FALSE
240,8,Finance,Finance;Sustainable Design;Information Technology,Diploma,oncampus,3,FALSE
241,8,International Law,Business;International Law;Information Technology,Bachelor,oncampus,2;7,FALSE
242,8,Nursing,Accounting;Data Science;Renewable Energy,Master,oncampus,3;7,TRUE
243,8,Data Science,Education;Information Technology,Bachelor,oncampus,10,FALSE
244,8,Architecture,International Law;Architecture,Diploma,hybrid,7,FALSE
245,8,Environmental Science,International Law;Sustainable Design,Diploma,oncampus,3;10,TRUE
246,8,Accounting,Artificial Intelligence;Public Health,Bachelor,oncampus,2;3,FALSE
247,8,Banking,Film;Information Technology;Banking,Bachelor,oncampus,7,FALSE
248,8,Nursing,Nursing;Finance;Computer Science,PhD,hybrid,3;10,FALSE
249,8,Accounting,Psychology;Nursing,Bachelor,oncampus,3;10,FALSE
250,8,Cybersecurity,Ecology;Public Health;Engineering,Master,oncampus,3;7,TRUE
251,8,Business,Ecology;International Law;Business,Diploma,oncampus,3;10,FALSE
252,8,Law,International Law;Engineering,Master,online,7;10,FALSE
253,8,Design,Marketing;Design,Master,oncampus,10,FALSE
254,8,Marketing,Marketing;Information Technology,PhD,hybrid,2,FALSE
255,8,Computer Science,Design;Computer Science,Bachelor,oncampus,10,FALSE
256,9,Education,Film;Data Science;Design,Diploma,oncampus,2;10,TRUE
257,9,Computer Science,Computer Science;International Law,Bachelor,hybrid,10,FALSE
258,9,Marketing,Cybersecurity;Marketing,Diploma,online,7,FALSE
259,9,Education,Education;Psychology;Education,Bachelor,hybrid,3;10,FALSE
260,9,Data Science,Data Science;Artificial Intelligence;Design,Master,oncampus,2;10,FALSE
261,9,Design,Engineering;Artificial Intelligence;Marketing,Diploma,oncampus,2;7,TRUE
262,9,Information Technology,Law;Information Technology,Bachelor,hybrid,7;10,FALSE
263,9,Law,Marketing;Public Health,Master,oncampus,2;10,FALSE
264,9,Nursing,Law;Accounting;Nursing,Bachelor,online,2;7,FALSE
265,9,Ecology,Information Technology;Ecology;Architecture,PhD,online,10,TRUE
266,9,Public Health,Banking;Engineering;Sustainable Design,Diploma,oncampus,2;10,FALSE
267,9,Film,Film;Accounting;Artificial Intelligence,Bachelor,oncampus,3;7,FALSE
268,9,Psychology,Artificial Intelligence;Cybersecurity,Bachelor,oncampus,7,FALSE
269,9,Cybersecurity,Sustainable Design;Cybersecurity,Diploma,oncampus,7;10,TRUE
270,9,Artificial Intelligence,Psychology;Public Health,Bachelor,oncampus,2;7,FALSE
271,9,International Law,Accounting;Law;Renewable Energy,PhD,oncampus,3;7,TRUE
272,9,Banking,Marketing;Artificial Intelligence;Architecture,Bachelor,oncampus,2,FALSE
273,9,Education,Design;Ecology;Education,Bachelor,oncampus,3,TRUE
274,9,Nursing,Film;Psychology,Diploma,oncampus,10,FALSE
275,9,Design,Business;Public Health,PhD,oncampus,10,FALSE
276,9,Public Health,Environmental Science;Engineering;Design,Bachelor,oncampus,3;10,FALSE
277,9,Cybersecurity,Finance;Law;Cybersecurity,PhD,hybrid,7;10,FALSE
278,9,Finance,Artificial Intelligence;Environmental Science,Bachelor,oncampus,7,TRUE
279,9,Accounting,Architecture;Accounting;Business,Bachelor,hybrid,10,FALSE
280,9,Law,Law;Renewable Energy;Architecture,Bachelor,oncampus,3;7,FALSE
281,9,Data Science,Information Technology;Design;Film,Bachelor,oncampus,2;3,FALSE
282,9,Accounting,Renewable Energy;Law,Bachelor,oncampus,10,FALSE
283,9,Data Science,Data Science;Renewable Energy;Education,Bachelor,oncampus,2,TRUE
284,9,Cybersecurity,Business;Ecology,Master,oncampus,3;7,FALSE
285,9,Engineering,Ecology;Cybersecurity;Engineering,Bachelor,oncampus,2;10,TRUE
286,9,Public Health,Data Science;Marketing;Public Health,Master,oncampus,7,FALSE
287,9,International Law,Sustainable Design;International Law,Bachelor,online,10,TRUE
288,9,Psychology,Sustainable Design;Film;Psychology,Diploma,online,3;10,FALSE
289,9,Environmental Science,Artificial Intelligence;Cybersecurity;Law,Master,oncampus,2,FALSE
290,10,Banking,Renewable Energy;Design,Master,oncampus,10,TRUE
291,10,Law,Education;Sustainable Design,Diploma,online,7;10,FALSE
292,10,Law,Business;Cybersecurity,Diploma,oncampus,7,FALSE
293,10,Environmental Science,Psychology;Architecture;Film,Diploma,oncampus,10,FALSE
294,10,Design,Design;International Law,Bachelor,oncampus,3,FALSE
295,10,Public Health,Public Health;Film,Master,oncampus,7;10,FALSE
296,10,Renewable Energy,Engineering;Data Science,Master,hybrid,10,FALSE
297,10,Marketing,Marketing;Computer Science,Diploma,oncampus,7,FALSE
298,10,Marketing,Marketing;Ecology;Engineering,Master,oncampus,7;10,TRUE
299,10,Information Technology,Finance;Information Technology,Master,online,3,FALSE
300,10,Nursing,Sustainable Design;Nursing;Information Technology,Master,hybrid,2;10,FALSE
301,10,Finance,Education;Finance;Environmental Science,Master,online,2;3,FALSE
302,10,Law,Banking;International Law,Bachelor,hybrid,7,FALSE
303,10,Nursing,Renewable Energy;Cybersecurity;Nursing,Bachelor,hybrid,3;7,FALSE
304,10,Business,Accounting;Environmental Science;Business,Bachelor,oncampus,7;10,TRUE
305,10,Architecture,Design;Psychology;Artificial Intelligence,Bachelor,oncampus,10,FALSE
306,10,Public Health,Artificial Intelligence;Public Health,Bachelor,online,2;10,FALSE
307,10,Architecture,Banking;Engineering;Architecture,Master,oncampus,10,FALSE
308,10,Public Health,Design;Public Health;Cybersecurity,Master,hybrid,3,FALSE
309,10,Sustainable Design,Architecture;Finance;Environmental Science,Bachelor,oncampus,2;7,TRUE
310,10,Design,Artificial Intelligence;Design,Bachelor,oncampus,7,FALSE
311,10,Ecology,Ecology;Architecture,Master,oncampus,3,FALSE
312,10,Engineering,Renewable Energy;Engineering;Accounting,Diploma,online,2;3,FALSE
313,10,Environmental Science,Environmental Science;Accounting,Diploma,hybrid,2;3,TRUE
314,10,Education,Business;Education,Master,oncampus,2;7,FALSE
315,10,Design,Education;Finance,Bachelor,online,10,FALSE
316,10,Finance,Law;Cybersecurity;Business,Diploma,oncampus,3,FALSE
317,10,Accounting,Accounting;International Law,Bachelor,oncampus,7,FALSE
318,10,Finance,Ecology;Renewable Energy,Bachelor,online,3;10,TRUE
319,10,Psychology,Psychology;Design,Diploma,hybrid,2,FALSE
320,10,Education,Law;Business,PhD,oncampus,3,TRUE
321,10,Engineering,Engineering;Law,PhD,oncampus,2;10,FALSE
322,10,Psychology,Renewable Energy;Design;Environmental Science,Bachelor,oncampus,3,FALSE
323,11,Banking,Artificial Intelligence;Renewable Energy,Diploma,oncampus,2;3,FALSE
324,11,Environmental Science,Artificial Intelligence;Environmental Science,Bachelor,oncampus,2,FALSE
325,11,Nursing,Nursing;Marketing;Ecology,Master,online,3;10,FALSE
326,11,Education,Banking;Education;Ecology,Bachelor,online,2,TRUE
327,11,Computer Science,Computer Science;Architecture,Bachelor,online,2;3,FALSE
328,11,Sustainable Design,Information Technology;Law,Bachelor,oncampus,2,FALSE
329,11,Law,Law;Ecology,Master,hybrid,2,FALSE
330,11,Accounting,Education;Accounting,Diploma,oncampus,2;10,TRUE
331,11,Public Health,Public Health;Public Health;Ecology,Bachelor,oncampus,2;10,FALSE
332,11,Accounting,Artificial Intelligence;Information Technology;Psychology,Master,oncampus,10,FALSE
333,11,Computer Science,Nursing;Ecology,Bachelor,oncampus,10,FALSE
334,11,Finance,Finance;International Law,Master,oncampus,7;10,TRUE
335,11,Environmental Science,Data Science;Computer Science,Master,online,2,FALSE
336,11,Finance,Finance;Engineering,Bachelor,online,2;10,FALSE
337,11,Accounting,Architecture;Renewable Energy;Accounting,Master,oncampus,3;7,TRUE
338,11,Psychology,Law;Psychology;Architecture,Diploma,oncampus,3;7,TRUE
339,11,Environmental Science,Public Health;Environmental Science,Master,hybrid,3;7,FALSE
340,11,Cybersecurity,Public Health;Cybersecurity;Marketing,Bachelor,hybrid,3,TRUE
341,11,Sustainable Design,Banking;Cybersecurity;Artificial Intelligence,Bachelor,hybrid,2,FALSE
342,11,Finance,Public Health;Artificial Intelligence;Business,Master,oncampus,3;7,FALSE
343,11,Marketing,Psychology;Marketing;International Law,Diploma,oncampus,2;3,TRUE
344,11,Computer Science,Finance;Accounting;Computer Science,Diploma,oncampus,2;7,FALSE
345,11,Computer Science,Finance;Computer Science;Sustainable Design,PhD,oncampus,2;10,FALSE
346,11,Marketing,Psychology;Marketing;Architecture,PhD,online,3;10,FALSE
347,11,Finance,Finance;Sustainable Design;Business,PhD,online,3;10,TRUE
348,11,International Law,Artificial Intelligence;Psychology;International Law,Bachelor,online,3;7,FALSE
349,11,International Law,Education;Environmental Science,Master,online,7,TRUE
350,11,Law,Law;Psychology,Bachelor,oncampus,2,FALSE
