student_id,interests,core_program,program_match
1510,Artificial Intelligence;Engineering,engineering,0.64
3513,Accounting;Education;Renewable Energy,engineering,0.32
272,Business;Design;Cybersecurity,education,0.27
593,Renewable Energy;Sustainable Design;Cybersecurity;Education,information technology,0.37
627,Banking;Marketing;Design;Computer Science,education,0.34
3440,Nursing;Finance;Environmental Science;Education,cyber security,0.25
2129,Artificial Intelligence;Data Science,logistics,0.23
2178,Accounting;Film;Design;International Law;Public Health,education,0.37
3186,Marketing;Engineering;Design,cyber security,0.18
265,Engineering;Marketing,information technology,0.49
4783,Information Technology;Design;Engineering,health sciences,0.43
2769,Accounting;Artificial Intelligence;Cybersecurity;Education,mining,0.12
4948,Business;Nursing,health sciences,0.44
2573,Artificial Intelligence;Law;Sustainable Design;Engineering,mining,0.22
4369,Education;Marketing;Finance,information technology,0.44
3417,Architecture;Data Science;Psychology;Nursing;Film,cyber security,0.14
2607,Psychology;Sustainable Design,logistics,0.14
3838,Public Health;Education;Banking;Ecology,education,0.55
910,Accounting;Architecture;Film;Education;Artificial Intelligence,health sciences,0.33
539,Ecology;Psychology;Banking;Law;Architecture,nursing,0.21
1372,Sustainable Design;International Law;Data Science;Artificial Intelligence;Engineering,engineering,0.51
290,Cybersecurity;Film;Ecology;Data Science,education,0.27
2556,Finance;Psychology,agriculture,0.3
1213,Design;Accounting;Environmental Science;Data Science;Film,health sciences,0.4
2568,Nursing;Finance;Law,education,0.44
3984,Cybersecurity;Public Health,mining,0.1
649,Finance;Law;Marketing,cyber security,0.28
1079,Psychology;Engineering;Artificial Intelligence;Banking,health sciences,0.39
3133,Nursing;Banking;Cybersecurity,education,0.26
3903,Environmental Science;Business;Banking,education,0.42
3202,Marketing;International Law;Psychology,engineering,0.34
512,Data Science;Engineering,mining,0.29
2229,Education;Ecology;Sustainable Design;International Law,engineering,0.36
751,International Law;Film;Artificial Intelligence;Ecology,trades,0.07
3897,Design;Education;Engineering;Film;International Law,information technology,0.42
4705,International Law;Nursing;Environmental Science;Artificial Intelligence,agriculture,0.29
4749,Cybersecurity;Education,education,0.55
4986,Artificial Intelligence;Cybersecurity;Computer Science,information technology,0.43
3638,Nursing;Marketing;Finance;Engineering,nursing,0.4
2386,Law;Accounting;Data Science,trades,0.2
1683,International Law;Education;Public Health,health sciences,0.61
4017,Law;Environmental Science,education,0.52
3511,Information Technology;Film;Design;Artificial Intelligence,engineering,0.36
3314,Engineering;Information Technology,mining,0.32
342,International Law;Film,health sciences,0.32
1724,Sustainable Design;Engineering;Artificial Intelligence;Law;Business,education,0.37
1582,International Law;Environmental Science;Law,information technology,0.47
3688,Sustainable Design;Business;Education,agriculture,0.38
3997,Business;Data Science;Ecology;Psychology,mining,0.2
4831,Cybersecurity;Environmental Science;Nursing,logistics,0.18
3517,Education;Renewable Energy,mining,0.24
236,Data Science;Business,trades,0.26
1354,Artificial Intelligence;Finance;Engineering,nursing,0.2
4727,Sustainable Design;Accounting;Artificial Intelligence,nursing,0.2
2114,Banking;Environmental Science;Business;Cybersecurity,agriculture,0.3
4882,Business;Law;International Law,health sciences,0.42
4600,Law;Psychology;Engineering,nursing,0.3
1271,Sustainable Design;Education,health sciences,0.5
2609,Sustainable Design;Environmental Science,information technology,0.53
4986,Artificial Intelligence;Cybersecurity;Computer Science,cyber security,0.36
4054,Sustainable Design;Engineering;Accounting;Information Technology,trades,0.21
2506,Education;Banking;Sustainable Design,engineering,0.36
2874,Architecture;Artificial Intelligence,agriculture,0.22
1512,Banking;Renewable Energy;Engineering;Accounting;Information Technology,nursing,0.19
1193,Design;Accounting;Environmental Science,engineering,0.46
4035,Finance;Architecture;Engineering;Design,cyber security,0.17
772,Public Health;Architecture;Nursing,agriculture,0.26
3096,Ecology;Business;Accounting;Computer Science,information technology,0.45
1059,Cybersecurity;International Law;Artificial Intelligence;Education;Psychology,nursing,0.24
3802,Nursing;Marketing,nursing,0.58
4106,Accounting;Design,agriculture,0.18
1685,Environmental Science;Computer Science;Information Technology,nursing,0.25
53,Cybersecurity;Information Technology,mining,0.15
2626,Computer Science;Information Technology;Ecology;Data Science,engineering,0.48
4944,Sustainable Design;Architecture;Banking;Business;Film,construction,0.33
3909,Nursing;International Law;Accounting;Education;Sustainable Design,nursing,0.41
2547,Finance;Engineering;Education,engineering,0.56
597,Architecture;Environmental Science;Business;Education,nursing,0.28
2299,Business;Design;International Law,trades,0.2
872,Design;Finance;Ecology;Information Technology;Environmental Science,logistics,0.24
1247,Finance;Public Health;Psychology;Sustainable Design,trades,0.13
1924,Computer Science;Accounting;Public Health,education,0.46
3482,Film;Renewable Energy,trades,0.09
1807,Education;Law;International Law,health sciences,0.5
4881,Artificial Intelligence;International Law;Public Health;Psychology,information technology,0.43
4669,Marketing;Sustainable Design;Information Technology;Public Health,logistics,0.28
3042,Accounting;International Law,logistics,0.19
4614,Public Health;Cybersecurity;Artificial Intelligence;Architecture;Environmental Science,trades,0.06
4762,Nursing;Architecture;Cybersecurity;Artificial Intelligence,construction,0.18
758,Data Science;Cybersecurity,cyber security,0.32
4406,Public Health;Sustainable Design;Computer Science,trades,0.14
4824,Sustainable Design;Ecology;Computer Science,trades,0.1
1677,Computer Science;Sustainable Design;Business;Psychology,mining,0.21
434,Artificial Intelligence;Film,logistics,0.11
3136,Film;Banking;Cybersecurity,health sciences,0.18
3026,Accounting;Architecture;Ecology;Data Science;Psychology,nursing,0.23
2336,Artificial Intelligence;Ecology;Information Technology;Cybersecurity;Business,health sciences,0.36
2128,Banking;Finance;Engineering,information technology,0.41
230,Law;Psychology,information technology,0.31
386,Banking;Environmental Science,agriculture,0.39
384,Marketing;International Law;Education,mining,0.21
1780,Banking;Information Technology;Marketing;Education;Psychology,agriculture,0.3
3776,Film;Ecology;Design,cyber security,0.11
4863,International Law;Nursing,agriculture,0.21
4410,Film;Business,agriculture,0.2
2347,Public Health;Information Technology,trades,0.19
3005,Film;Cybersecurity;Nursing,health sciences,0.26
4236,Film;Public Health,construction,0.23
2695,Information Technology;Computer Science;Business;Engineering;Sustainable Design,agriculture,0.33
1163,Film;Ecology;Public Health,education,0.39
4197,Design;International Law;Sustainable Design,education,0.37
95,Ecology;Design;Education;Architecture,construction,0.31
582,Engineering;Cybersecurity;International Law;Finance,logistics,0.24
1173,Banking;Education,trades,0.22
4233,Computer Science;Sustainable Design,agriculture,0.33
4502,Education;Engineering,education,0.69
4691,Banking;Accounting;Computer Science;Cybersecurity,health sciences,0.29
1451,Sustainable Design;Computer Science;Ecology;Banking,education,0.35
2509,Sustainable Design;Banking;Data Science,cyber security,0.26
2181,Business;International Law;Computer Science,information technology,0.57
1343,Design;International Law,education,0.36
4878,Engineering;Public Health,information technology,0.5
4869,Engineering;Accounting;Banking,mining,0.29
1185,Accounting;Data Science;Engineering,mining,0.26
4864,Information Technology;Finance;Architecture;Computer Science,trades,0.19
3830,Architecture;Engineering;Film;Marketing,agriculture,0.21
503,Engineering;Artificial Intelligence;Business;Nursing,nursing,0.42
1676,Environmental Science;Accounting;Finance,logistics,0.23
971,Accounting;Nursing;Renewable Energy;Environmental Science;Public Health,mining,0.2
3656,Cybersecurity;International Law;Architecture;Business;Data Science,information technology,0.43
2085,Finance;International Law;Engineering,nursing,0.22
2164,Environmental Science;International Law;Artificial Intelligence;Design,logistics,0.21
3941,Computer Science;Design,engineering,0.56
2854,Marketing;Ecology,nursing,0.14
2843,Environmental Science;Data Science;Ecology;Film,engineering,0.38
4316,Information Technology;Education;Cybersecurity,logistics,0.23
1634,Artificial Intelligence;Data Science,logistics,0.23
4276,Artificial Intelligence;Environmental Science,agriculture,0.36
4558,Law;Sustainable Design;Accounting,health sciences,0.33
889,Marketing;Information Technology;Computer Science;Engineering,education,0.42
3397,Computer Science;Information Technology;Cybersecurity,agriculture,0.26
3484,Law;Environmental Science;Architecture,mining,0.21
251,Business;Computer Science;Education,trades,0.22
4657,Banking;Business;Psychology;Computer Science;Environmental Science,engineering,0.44
2009,Engineering;Cybersecurity;Nursing,agriculture,0.2
114,Film;Accounting,information technology,0.28
1057,Design;Data Science;Accounting;Artificial Intelligence,information technology,0.5
1732,Artificial Intelligence;Public Health;Ecology;Engineering;Renewable Energy,health sciences,0.47
3422,Sustainable Design;Banking;Law;Environmental Science,logistics,0.19
2975,Information Technology;Public Health,trades,0.19
1764,Business;Banking;Design;International Law,engineering,0.37
2460,Engineering;Psychology;Environmental Science,engineering,0.65
4172,Artificial Intelligence;Sustainable Design;Data Science;Nursing;International Law,mining,0.16
3131,Marketing;Law;Finance;Accounting,construction,0.24
4769,Information Technology;Artificial Intelligence;International Law,mining,0.22
1271,Sustainable Design;Education,mining,0.2
4725,Finance;Law;Banking,education,0.38
4781,Business;Environmental Science;Ecology;Marketing,health sciences,0.46
3723,Engineering;Cybersecurity;Artificial Intelligence;Education;Film,cyber security,0.25
4351,Data Science;Sustainable Design;Architecture,cyber security,0.22
4839,Data Science;Computer Science;Public Health;Design;International Law,nursing,0.27
2073,Public Health;Film;Computer Science;Ecology;Engineering,nursing,0.24
4917,International Law;Artificial Intelligence;Education;Film;Computer Science,engineering,0.34
4761,Education;Artificial Intelligence;International Law;Law;Design,cyber security,0.32
2335,Sustainable Design;Information Technology;Architecture;Design,information technology,0.56
3361,Computer Science;Psychology,education,0.43
4525,Design;International Law;Architecture,trades,0.1
632,Sustainable Design;Marketing;Finance;Banking,trades,0.23
4229,Architecture;Accounting;Finance;International Law;Cybersecurity,agriculture,0.25
3201,Finance;Education;Accounting;Engineering,logistics,0.26
2343,Finance;Engineering;Artificial Intelligence;Marketing;Business,agriculture,0.32
3859,Education;Architecture;Finance;Renewable Energy;Artificial Intelligence,construction,0.3
2597,Ecology;Artificial Intelligence;International Law,health sciences,0.41
4753,Finance;Marketing,construction,0.27
2039,Computer Science;Nursing;Accounting;International Law;Architecture,trades,0.16
524,Artificial Intelligence;Public Health;Environmental Science;Renewable Energy;Engineering,health sciences,0.52
4880,Law;International Law;Business,agriculture,0.26
1709,Cybersecurity;International Law;Public Health;Data Science;Accounting,mining,0.18
2689,International Law;Environmental Science;Engineering;Finance;Psychology,nursing,0.25
4825,Banking;Cybersecurity,information technology,0.23
1596,Cybersecurity;Environmental Science;Film,cyber security,0.25
4775,Architecture;Law;Cybersecurity;Accounting;Environmental Science,education,0.33
1376,Film;Computer Science,health sciences,0.38
854,Computer Science;Public Health;International Law,education,0.53
2420,Environmental Science;Nursing,nursing,0.64
1788,Sustainable Design;International Law,cyber security,0.31
1213,Design;Accounting;Environmental Science;Data Science;Film,construction,0.3
2723,Renewable Energy;Sustainable Design;Nursing,logistics,0.18
1850,Finance;International Law;Design,mining,0.21
2009,Engineering;Cybersecurity;Nursing,education,0.31
4821,International Law;Data Science;Ecology,mining,0.21
3551,Film;Artificial Intelligence;Psychology,trades,0.05
2630,Data Science;Renewable Energy;Law;Artificial Intelligence;Information Technology,cyber security,0.34
4799,Education;Sustainable Design,construction,0.39
3322,International Law;Public Health;Accounting;Artificial Intelligence;Film,education,0.35
4611,International Law;Accounting;Banking;Renewable Energy;Public Health,information technology,0.41
3151,Nursing;Psychology;Cybersecurity;Environmental Science,agriculture,0.23
2665,Public Health;Finance,mining,0.23
230,Law;Psychology,logistics,0.04
1125,Engineering;Architecture,trades,0.11
1020,Renewable Energy;Artificial Intelligence;Sustainable Design;Engineering;Education,nursing,0.24
1991,Banking;Information Technology,agriculture,0.33
1094,Marketing;Design;Accounting;Cybersecurity;Psychology,education,0.26
1949,Sustainable Design;International Law;Nursing;Banking,mining,0.2
1387,Engineering;Marketing;Film,education,0.31
1873,Engineering;Renewable Energy,health sciences,0.42
4610,Nursing;Law;Psychology,engineering,0.32
4689,Psychology;Computer Science,education,0.43
4089,Renewable Energy;Sustainable Design;Marketing;Artificial Intelligence,information technology,0.47
1750,Data Science;Computer Science;Education;Design,trades,0.16
4260,Environmental Science;Engineering;Marketing,nursing,0.25
1760,Public Health;Data Science;Engineering;Finance,logistics,0.27
928,Psychology;International Law;Ecology;Architecture;Finance,logistics,0.14
3126,Nursing;Film,health sciences,0.33
3498,International Law;Artificial Intelligence,cyber security,0.41
3714,Design;Information Technology;Engineering;Banking,construction,0.39
3637,Information Technology;Finance;Sustainable Design;Computer Science,trades,0.21
1343,Design;International Law,engineering,0.42
358,Psychology;Film;Sustainable Design;Computer Science,education,0.37
1040,Public Health;Sustainable Design,logistics,0.21
2608,Film;Artificial Intelligence;Design,education,0.24
163,Sustainable Design;Accounting;Psychology;Computer Science,health sciences,0.4
3091,Ecology;Design,logistics,0.18
698,Education;Renewable Energy;Finance;Nursing;Public Health,nursing,0.42
1266,Information Technology;Computer Science,construction,0.3
3791,Accounting;Public Health;Ecology,construction,0.21
4636,Business;Public Health;Computer Science;Ecology,engineering,0.39
3315,Law;Artificial Intelligence,engineering,0.27
3259,Banking;Design;Finance;Film,agriculture,0.24
1003,Law;Public Health;Ecology;Accounting;International Law,trades,0.14
4440,Architecture;Accounting,nursing,0.22
3161,Marketing;Accounting;Business,engineering,0.34
2508,Renewable Energy;Business;Law;Information Technology,health sciences,0.41
1199,Accounting;Data Science;Law;Ecology;Design,construction,0.26
385,Law;Computer Science;Design,construction,0.32
4092,Design;Public Health;Marketing;Law;Film,agriculture,0.21
3504,Renewable Energy;Law,information technology,0.4
3386,Banking;Renewable Energy;Sustainable Design;Psychology,cyber security,0.17
1245,Information Technology;Artificial Intelligence;Business;Environmental Science;Accounting,health sciences,0.44
445,Banking;Law;Sustainable Design;Nursing,nursing,0.39
837,Marketing;Banking,information technology,0.41
3838,Public Health;Education;Banking;Ecology,information technology,0.39
1239,Architecture;Marketing;Finance;Design,mining,0.17
3088,Education;Data Science;Law,health sciences,0.56
2072,Computer Science;Architecture,education,0.38
469,Public Health;Finance;Data Science;Sustainable Design;Engineering,cyber security,0.27
2259,Engineering;Business;Nursing;Environmental Science;Banking,health sciences,0.47
4544,Psychology;Law;Cybersecurity,agriculture,0.15
1227,Law;Environmental Science;Finance;Architecture;Computer Science,nursing,0.24
3498,International Law;Artificial Intelligence,agriculture,0.24
3061,Engineering;Renewable Energy;Finance;Law,education,0.4
2880,Marketing;Engineering;Law;Accounting,health sciences,0.37
4104,Nursing;Ecology,nursing,0.57
1332,Law;Cybersecurity;Data Science;Ecology,information technology,0.37
1008,Artificial Intelligence;Accounting;Education,construction,0.24
2851,Marketing;Sustainable Design;Nursing;Law,health sciences,0.38
1304,Design;Finance;Banking,agriculture,0.29
1394,Design;Engineering;Finance;Renewable Energy;Accounting,agriculture,0.31
999,Film;Public Health;Information Technology;Environmental Science,agriculture,0.33
3227,Finance;Computer Science;Psychology,nursing,0.25
1673,Law;Accounting,agriculture,0.22
4969,Cybersecurity;Banking;Environmental Science;Data Science,engineering,0.37
4189,Marketing;Cybersecurity,logistics,0.25
4016,Design;Information Technology;Finance;Psychology;Cybersecurity,logistics,0.2
1617,International Law;Computer Science;Cybersecurity,information technology,0.43
2997,Renewable Energy;Finance;Ecology,cyber security,0.19
281,Environmental Science;Accounting,construction,0.28
4012,Business;Architecture;Engineering,nursing,0.24
4265,Finance;Psychology;Banking;Nursing,agriculture,0.27
2422,Banking;Renewable Energy;Education,logistics,0.2
515,Design;Nursing;Psychology;Banking;Ecology,information technology,0.3
4328,Banking;Artificial Intelligence,education,0.23
1290,Renewable Energy;Accounting;Information Technology;Law;Sustainable Design,agriculture,0.31
1476,Artificial Intelligence;Public Health;Environmental Science,mining,0.2
3549,Accounting;Data Science,information technology,0.53
3053,Marketing;International Law;Renewable Energy;Banking,mining,0.27
1974,Ecology;Nursing;International Law,logistics,0.16
3586,Design;Accounting;Ecology;Cybersecurity;Education,logistics,0.18
992,Film;Banking,information technology,0.3
1660,Accounting;Law;Information Technology;Public Health;Architecture,education,0.42
3713,Engineering;Film;Business;Data Science,nursing,0.19
189,Public Health;Computer Science;Engineering,cyber security,0.32
969,Environmental Science;Ecology;Information Technology;Sustainable Design,agriculture,0.39
4480,Psychology;Artificial Intelligence,education,0.3
1154,Public Health;Environmental Science,mining,0.25
3431,Cybersecurity;Engineering;Accounting;Computer Science,cyber security,0.26
906,Ecology;Engineering;Information Technology;Nursing;Public Health,mining,0.2
1222,Architecture;Banking;Business;Education;Film,nursing,0.19
3990,Cybersecurity;Psychology;Finance;International Law;Architecture,health sciences,0.33
3881,Psychology;Ecology;Education;Information Technology,education,0.53
3691,Psychology;Computer Science;Architecture,construction,0.22
2149,Environmental Science;Business;Law;Banking;Finance,construction,0.32
4908,Engineering;Renewable Energy;Law,mining,0.29
332,Information Technology;Public Health;Architecture;Banking;Marketing,cyber security,0.3
4655,Education;Film;Law;Engineering;Environmental Science,trades,0.11
4182,Marketing;Film;Nursing;Data Science;Architecture,trades,0.12
1760,Public Health;Data Science;Engineering;Finance,cyber security,0.29
4393,Data Science;Information Technology;Film;Sustainable Design,nursing,0.15
4224,Public Health;Engineering;Artificial Intelligence,trades,0.13
3676,Education;Cybersecurity;Law;Environmental Science,mining,0.18
3574,Architecture;Education;Data Science;Psychology,construction,0.25
3231,Law;Sustainable Design,construction,0.34
3390,Psychology;Environmental Science;Cybersecurity,engineering,0.36
127,Sustainable Design;Film,cyber security,0.15
891,Data Science;Engineering;Banking;Information Technology;Ecology,information technology,0.57
3614,Law;Finance;Cybersecurity;Environmental Science,cyber security,0.32
4884,Education;Renewable Energy;Design;Business;International Law,health sciences,0.41
4015,Data Science;Design;Computer Science;Public Health,logistics,0.21
1586,Business;Cybersecurity;Education,education,0.5
824,Data Science;Accounting;Law;Marketing;Psychology,information technology,0.43
1293,Computer Science;Business;International Law,construction,0.32
795,Information Technology;Nursing;Design;Marketing;Business,engineering,0.41
2362,Environmental Science;Engineering;Nursing;Finance;Film,mining,0.19
4751,Computer Science;Engineering;Cybersecurity;Nursing;Law,engineering,0.46
3485,Engineering;Business,engineering,0.69
2598,Business;Ecology;Cybersecurity,nursing,0.13
507,Nursing;Banking,education,0.34
769,Law;Sustainable Design;Renewable Energy,engineering,0.32
1937,Renewable Energy;Design;Film,education,0.27
3034,Data Science;Computer Science;Finance;Film,mining,0.18
1691,Artificial Intelligence;Business;Design,trades,0.17
3743,Business;Data Science;Accounting;Nursing;Architecture,engineering,0.4
3713,Engineering;Film;Business;Data Science,information technology,0.51
689,Cybersecurity;Film;Design;Psychology;Information Technology,nursing,0.14
3594,Education;Ecology;Design;Psychology,education,0.48
903,Business;Engineering;Marketing;International Law,health sciences,0.42
749,Data Science;Information Technology;Education;Business,trades,0.23
3659,Marketing;Film;Renewable Energy;Accounting,trades,0.19
1710,Marketing;Computer Science;Law;Film,engineering,0.33
2877,Ecology;International Law;Business,education,0.38
1761,Engineering;Banking,mining,0.33
706,Education;Architecture,construction,0.33
4983,Nursing;Banking,construction,0.22
3592,Film;Business;Sustainable Design;Law,logistics,0.15
1074,Nursing;Cybersecurity;Architecture;Computer Science;Accounting,construction,0.2
3960,Computer Science;Marketing;Business;Cybersecurity,information technology,0.45
2320,Engineering;Ecology;Marketing,information technology,0.41
1529,Architecture;Cybersecurity;Data Science;Public Health;Film,cyber security,0.26
2550,Marketing;Ecology;Information Technology;Renewable Energy,trades,0.16
1426,Engineering;Film;Architecture;Accounting,mining,0.17
4212,Design;Nursing;Banking;Data Science,cyber security,0.21
992,Film;Banking,mining,0.19
911,Sustainable Design;Film;Business,health sciences,0.31
3044,Environmental Science;Design,logistics,0.23
755,International Law;Education;Environmental Science,engineering,0.43
970,Accounting;Psychology,education,0.29
3287,Law;Sustainable Design,logistics,0.14
862,Film;Environmental Science;Architecture;Cybersecurity;Data Science,logistics,0.16
1301,Design;Law,engineering,0.39
3494,Accounting;Banking,agriculture,0.26
834,International Law;Law;Environmental Science;Business;Accounting,logistics,0.2
4739,Cybersecurity;International Law;Renewable Energy;Business;Artificial Intelligence,construction,0.24
1243,Data Science;Architecture;Engineering;Ecology;Accounting,logistics,0.23
2705,Banking;Renewable Energy;Sustainable Design;Nursing;Engineering,engineering,0.46
1114,Cybersecurity;Business;Banking;Data Science,logistics,0.24
4795,Accounting;Environmental Science;Public Health,health sciences,0.55
1246,Architecture;International Law;Film;Information Technology;Public Health,nursing,0.2
755,International Law;Education;Environmental Science,information technology,0.5
4299,Environmental Science;Artificial Intelligence;Business;Psychology,nursing,0.24
4079,Banking;Environmental Science;Renewable Energy,engineering,0.37
4511,Accounting;Artificial Intelligence,health sciences,0.28
1558,Public Health;Sustainable Design;Banking;Film;Artificial Intelligence,logistics,0.18
1225,Public Health;International Law;Information Technology,nursing,0.27
3825,Banking;Environmental Science;Education;Renewable Energy,construction,0.31
1209,Psychology;Computer Science;Artificial Intelligence;Law,construction,0.18
158,Public Health;Law;Environmental Science;Marketing;Computer Science,logistics,0.2
2533,Computer Science;Environmental Science;Design,trades,0.13
2357,Law;Film;Information Technology;Sustainable Design;Psychology,nursing,0.19
3108,Law;Sustainable Design;Computer Science,cyber security,0.31
2736,Architecture;Information Technology,mining,0.2
1510,Artificial Intelligence;Engineering,construction,0.35
1486,Nursing;International Law;Artificial Intelligence;Environmental Science;Business,trades,0.15
3397,Computer Science;Information Technology;Cybersecurity,health sciences,0.4
3793,Sustainable Design;Engineering;International Law,nursing,0.24
4477,International Law;Sustainable Design,logistics,0.21
3466,Public Health;Environmental Science;Information Technology;Architecture,construction,0.33
4903,International Law;Information Technology;Computer Science;Marketing,engineering,0.44
379,Data Science;Marketing;Computer Science,cyber security,0.31
1049,Law;Cybersecurity,health sciences,0.25
2129,Artificial Intelligence;Data Science,engineering,0.4
1211,Sustainable Design;Film;Psychology,engineering,0.32
345,Film;Accounting;Public Health,cyber security,0.22
135,Business;Computer Science;Nursing;Sustainable Design,health sciences,0.45
253,Psychology;Sustainable Design;Film;Information Technology;International Law,construction,0.25
1541,Nursing;Data Science;Ecology;Business;Sustainable Design,agriculture,0.32
4197,Design;International Law;Sustainable Design,health sciences,0.35
3031,Engineering;Accounting;Education;Cybersecurity;Information Technology,cyber security,0.28
714,Renewable Energy;Nursing,education,0.38
4346,Banking;Business,health sciences,0.32
4217,Public Health;Business;Education;Artificial Intelligence,education,0.58
4999,Architecture;Computer Science;Business,agriculture,0.28
3823,Data Science;Business;Architecture;Marketing,nursing,0.2
2611,Nursing;Film;Architecture;Environmental Science;Public Health,education,0.44
3563,Finance;International Law,health sciences,0.42
359,Education;Law;Architecture;Marketing,engineering,0.36
333,Accounting;Finance;Renewable Energy;Film,agriculture,0.29
2397,Information Technology;Computer Science;Film,agriculture,0.24
4049,Renewable Energy;Artificial Intelligence;Design,education,0.28
129,Computer Science;Engineering;Architecture;Ecology,mining,0.19
2330,Education;Ecology,engineering,0.34
3722,Psychology;Public Health;Finance;Cybersecurity,agriculture,0.27
736,Renewable Energy;Ecology;Business,cyber security,0.2
1043,Artificial Intelligence;Banking;Data Science;Renewable Energy;Accounting,cyber security,0.27
825,Marketing;Renewable Energy,cyber security,0.22
3597,Marketing;Cybersecurity;Accounting;Banking;Finance,logistics,0.23
4652,Artificial Intelligence;Public Health;Psychology;Marketing;Design,construction,0.25
3412,Marketing;Ecology;Cybersecurity;Computer Science,education,0.3
1447,Cybersecurity;Environmental Science,agriculture,0.29
3288,Engineering;Education;Accounting,construction,0.33
2467,Marketing;Data Science;Psychology,construction,0.18
